Symbol,Date,Open,High,Low,Close,Volume
AAPL,2020-07-19,385.31,385.31,385.31,385.31,7206
AAPL,2020-07-20,385.31,393.905,384.25,393.43,28756
AAPL,2020-07-21,393.43,396.18,387.175,388.0,28755
AAPL,2020-07-22,388.0,391.9,386.42,389.09,28757
AAPL,2020-07-23,389.09,389.09,368.039,371.38,28757
AAPL,2020-07-24,371.38,371.79,357.615,370.46,20389
AAPL,2020-07-26,370.46,370.46,370.46,370.46,7207
AAPL,2020-07-27,370.46,379.54,370.46,379.24,28756
AAPL,2020-07-28,379.24,379.24,373.01,373.01,28757
AAPL,2020-07-29,373.01,380.8599,373.01,380.16,28755
AAPL,2020-07-30,380.16,384.97,375.085,384.76,28756
AAPL,2020-07-31,384.76,425.58,384.76,425.04,20388
AAPL,2020-08-02,425.04,425.04,425.04,425.04,7209
AAPL,2020-08-03,425.04,446.31,425.04,435.75,28769
AAPL,2020-08-04,435.75,443.1,433.6082,438.66,28768
AAPL,2020-08-05,438.66,441.46,435.62,440.25,28758
AAPL,2020-08-06,440.25,457.6021,440.25,455.61,28746
AAPL,2020-08-07,455.61,455.61,441.21,444.45,20392
AAPL,2020-08-09,444.45,444.45,444.45,444.45,7209
AAPL,2020-08-10,444.45,454.87,440.12,450.91,28761
AAPL,2020-08-11,450.91,450.91,436.51,437.5,28742
AAPL,2020-08-12,437.5,453.075,437.5,452.04,28757
AAPL,2020-08-13,452.04,464.13,452.04,460.04,28781
AAPL,2020-08-14,460.04,460.04,452.2399,459.63,20387
AAPL,2020-08-16,459.63,459.63,459.63,459.63,7204
AAPL,2020-08-17,459.63,464.25,458.43,458.43,28685
AAPL,2020-08-18,458.43,463.9899,456.0852,462.25,28748
AAPL,2020-08-19,462.25,468.62,462.25,462.83,28754
AAPL,2020-08-20,462.83,473.54,462.83,473.1,28754
AAPL,2020-08-21,473.1,499.47,473.1,497.48,20387
AAPL,2020-08-23,497.48,497.48,497.48,497.48,7208
AAPL,2020-08-24,497.48,515.0341,495.88,503.43,28758
AAPL,2020-08-25,503.43,503.43,492.291,499.3,28760
AAPL,2020-08-26,499.3,507.92,499.3,506.09,28759
AAPL,2020-08-27,506.09,509.89,495.46,500.04,28758
AAPL,2020-08-28,500.04,505.63,498.34,499.23,20390
AAPL,2020-08-30,124.81,124.81,124.81,124.81,7207
AAPL,2020-08-31,124.81,499.23,124.8075,129.04,28757
AAPL,2020-09-01,129.04,134.7899,129.04,134.18,28756
AAPL,2020-09-02,134.18,137.515,127.19,131.4,28756
AAPL,2020-09-03,131.4,131.4,120.54,120.88,28774
AAPL,2020-09-04,120.88,123.68,111.09,120.96,20388
AAPL,2020-09-06,120.96,120.96,120.96,120.96,7214
AAPL,2020-09-07,120.96,120.96,120.96,120.96,28784
AAPL,2020-09-08,120.96,120.96,112.71,112.82,28786
AAPL,2020-09-09,112.82,119.13,112.82,117.32,28778
AAPL,2020-09-10,117.32,120.26,112.5,113.49,28753
AAPL,2020-09-11,113.49,115.1594,110.03,112.0,20387
AAPL,2020-09-13,112.0,112.0,112.0,112.0,7206
AAPL,2020-09-14,112.0,115.88,112.0,115.355,28757
AAPL,2020-09-15,115.355,118.5962,113.6127,115.54,28756
AAPL,2020-09-16,115.54,115.95,112.07,112.13,28755
AAPL,2020-09-17,112.13,112.19,108.82,110.34,28752
AAPL,2020-09-18,110.34,110.85,106.12,106.84,20390
AAPL,2020-09-20,106.84,106.84,106.84,106.84,7205
AAPL,2020-09-21,106.84,110.13,103.33,110.08,28755
AAPL,2020-09-22,110.08,112.82,109.1601,111.81,28755
AAPL,2020-09-23,111.81,112.0935,106.81,107.12,28754
AAPL,2020-09-24,107.12,110.21,105.01,108.22,28754
AAPL,2020-09-25,108.22,112.437,107.7251,112.28,20391
AAPL,2020-09-27,112.28,112.28,112.28,112.28,7209
AAPL,2020-09-28,112.28,114.98,112.28,114.96,28759
AAPL,2020-09-29,114.96,115.28,113.6,114.09,28752
AAPL,2020-09-30,114.09,117.235,113.735,115.81,28751
AAPL,2020-10-01,115.81,117.64,115.81,116.79,28751
AAPL,2020-10-02,116.79,116.79,112.405,113.02,20386
AAPL,2020-10-04,113.02,113.02,113.02,113.02,7067
AAPL,2020-10-05,113.02,116.59,113.02,116.5,28762
AAPL,2020-10-06,116.5,116.5,116.5,116.5,28746
AAPL,2020-10-07,116.5,116.5,114.17,115.08,28657
AAPL,2020-10-08,115.08,116.34,114.6,114.97,28759
